#	Arena
system "Omnis"
	bribe 0
	government "Arena"
	tribute 1
		fleet "Behemoth "
		threshold 0
fleet "Behemoth "
	government "Arena"
	personality "heroic"
	variant
		"Behemoth"
planet "Berserker "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Berserker "
		threshold 0
fleet "Berserker "
	government "Arena"
	personality "heroic"
	variant
		"Berserker"
planet "Blackbird "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Blackbird "
		threshold 0
fleet "Blackbird "
	government "Arena"
	personality "heroic"
	variant
		"Blackbird"
planet "Bounder "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Bounder "
		threshold 0
fleet "Bounder "
	government "Arena"
	personality "heroic"
	variant
		"Bounder"
planet "Boxwing "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Boxwing "
		threshold 0
fleet "Boxwing "
	government "Arena"
	personality "heroic"
	variant
		"Boxwing"
planet "Bulk Freighter "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Bulk Freighter "
		threshold 0
fleet "Bulk Freighter "
	government "Arena"
	personality "heroic"
	variant
		"Bulk Freighter"
planet "Bulwark "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Bulwark "
		threshold 0
fleet "Bulwark "
	government "Arena"
	personality "heroic"
	variant
		"Bulwark"
planet "Carrier "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Carrier "
		threshold 0
fleet "Carrier "
	government "Arena"
	personality "heroic"
	variant
		"Carrier"
planet "Class C Freighter "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Class C Freighter "
		threshold 0
fleet "Class C Freighter "
	government "Arena"
	personality "heroic"
	variant
		"Class C Freighter"
planet "Clipper "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Clipper "
		threshold 0
fleet "Clipper "
	government "Arena"
	personality "heroic"
	variant
		"Clipper"
planet "Combat Drone "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Combat Drone "
		threshold 0
fleet "Combat Drone "
	government "Arena"
	personality "heroic"
	variant
		"Combat Drone"
planet "Container Transport "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Container Transport "
		threshold 0
fleet "Container Transport "
	government "Arena"
	personality "heroic"
	variant
		"Container Transport"
planet "Corvette "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Corvette "
		threshold 0
fleet "Corvette "
	government "Arena"
	personality "heroic"
	variant
		"Corvette"
planet "Cruiser "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Cruiser "
		threshold 0
fleet "Cruiser "
	government "Arena"
	personality "heroic"
	variant
		"Cruiser"
planet "Cutthroat "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Cutthroat "
		threshold 0
fleet "Cutthroat "
	government "Arena"
	personality "heroic"
	variant
		"Cutthroat"
planet "Dagger "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Dagger "
		threshold 0
fleet "Dagger "
	government "Arena"
	personality "heroic"
	variant
		"Dagger"
planet "Dreadnought "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Dreadnought "
		threshold 0
fleet "Dreadnought "
	government "Arena"
	personality "heroic"
	variant
		"Dreadnought"
planet "Dropship "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Dropship "
		threshold 0
fleet "Dropship "
	government "Arena"
	personality "heroic"
	variant
		"Dropship"
planet "Falcon "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Falcon "
		threshold 0
fleet "Falcon "
	government "Arena"
	personality "heroic"
	variant
		"Falcon"
planet "Finch "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Finch "
		threshold 0
fleet "Finch "
	government "Arena"
	personality "heroic"
	variant
		"Finch"
planet "Firebird "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Firebird "
		threshold 0
fleet "Firebird "
	government "Arena"
	personality "heroic"
	variant
		"Firebird"
planet "Flivver "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Flivver "
		threshold 0
fleet "Flivver "
	government "Arena"
	personality "heroic"
	variant
		"Flivver"
planet "Freighter "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Freighter "
		threshold 0
fleet "Freighter "
	government "Arena"
	personality "heroic"
	variant
		"Freighter"
planet "Frigate "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Frigate "
		threshold 0
fleet "Frigate "
	government "Arena"
	personality "heroic"
	variant
		"Frigate"
planet "Fury "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Fury "
		threshold 0
fleet "Fury "
	government "Arena"
	personality "heroic"
	variant
		"Fury"
planet "Gunboat "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Gunboat "
		threshold 0
fleet "Gunboat "
	government "Arena"
	personality "heroic"
	variant
		"Gunboat"
planet "Hauler "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Hauler "
		threshold 0
fleet "Hauler "
	government "Arena"
	personality "heroic"
	variant
		"Hauler"
planet "Hauler II "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Hauler II "
		threshold 0
fleet "Hauler II "
	government "Arena"
	personality "heroic"
	variant
		"Hauler II"
planet "Hauler III "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Hauler III "
		threshold 0
fleet "Hauler III "
	government "Arena"
	personality "heroic"
	variant
		"Hauler III"
planet "Hawk "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Hawk "
		threshold 0
fleet "Hawk "
	government "Arena"
	personality "heroic"
	variant
		"Hawk"
planet "Headhunter "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Headhunter "
		threshold 0
fleet "Headhunter "
	government "Arena"
	personality "heroic"
	variant
		"Headhunter"
planet "Heavy Shuttle "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Heavy Shuttle "
		threshold 0
fleet "Heavy Shuttle "
	government "Arena"
	personality "heroic"
	variant
		"Heavy Shuttle"
planet "Lance "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Lance "
		threshold 0
fleet "Lance "
	government "Arena"
	personality "heroic"
	variant
		"Lance"
planet "Leviathan "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Leviathan "
		threshold 0
fleet "Leviathan "
	government "Arena"
	personality "heroic"
	variant
		"Leviathan"
planet "Mammoth "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Mammoth "
		threshold 0
fleet "Mammoth "
	government "Arena"
	personality "heroic"
	variant
		"Mammoth"
planet "Manta "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Manta "
		threshold 0
fleet "Manta "
	government "Arena"
	personality "heroic"
	variant
		"Manta"
planet "Modified Argosy "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Modified Argosy "
		threshold 0
fleet "Modified Argosy "
	government "Arena"
	personality "heroic"
	variant
		"Modified Argosy"
planet "Mule "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Mule "
		threshold 0
fleet "Mule "
	government "Arena"
	personality "heroic"
	variant
		"Mule"
planet "Nest "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Nest "
		threshold 0
fleet "Nest "
	government "Arena"
	personality "heroic"
	variant
		"Nest"
planet "Nighthawk "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Nighthawk "
		threshold 0
fleet "Nighthawk "
	government "Arena"
	personality "heroic"
	variant
		"Nighthawk"
planet "Osprey "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Osprey "
		threshold 0
fleet "Osprey "
	government "Arena"
	personality "heroic"
	variant
		"Osprey"
planet "Protector "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Protector "
		threshold 0
fleet "Protector "
	government "Arena"
	personality "heroic"
	variant
		"Protector"
planet "Quicksilver "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Quicksilver "
		threshold 0
fleet "Quicksilver "
	government "Arena"
	personality "heroic"
	variant
		"Quicksilver"
planet "Rainmaker "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Rainmaker "
		threshold 0
fleet "Rainmaker "
	government "Arena"
	personality "heroic"
	variant
		"Rainmaker"
planet "Raven "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Raven "
		threshold 0
fleet "Raven "
	government "Arena"
	personality "heroic"
	variant
		"Raven"
planet "Roost "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Roost "
		threshold 0
fleet "Roost "
	government "Arena"
	personality "heroic"
	variant
		"Roost"
planet "Scout "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Scout "
		threshold 0
fleet "Scout "
	government "Arena"
	personality "heroic"
	variant
		"Scout"
planet "Scrapper "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Scrapper "
		threshold 0
fleet "Scrapper "
	government "Arena"
	personality "heroic"
	variant
		"Scrapper"
planet "Shuttle "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Shuttle "
		threshold 0
fleet "Shuttle "
	government "Arena"
	personality "heroic"
	variant
		"Shuttle"
planet "Skein "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Skein "
		threshold 0
fleet "Skein "
	government "Arena"
	personality "heroic"
	variant
		"Skein"
planet "Sparrow "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Sparrow "
		threshold 0
fleet "Sparrow "
	government "Arena"
	personality "heroic"
	variant
		"Sparrow"
planet "Splinter "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Splinter "
		threshold 0
fleet "Splinter "
	government "Arena"
	personality "heroic"
	variant
		"Splinter"
planet "Star Barge "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Star Barge "
		threshold 0
fleet "Star Barge "
	government "Arena"
	personality "heroic"
	variant
		"Star Barge"
planet "Star Queen "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Star Queen "
		threshold 0
fleet "Star Queen "
	government "Arena"
	personality "heroic"
	variant
		"Star Queen"
planet "Surveillance Drone "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Surveillance Drone "
		threshold 0
fleet "Surveillance Drone "
	government "Arena"
	personality "heroic"
	variant
		"Surveillance Drone"
planet "Valkyrie "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Valkyrie "
		threshold 0
fleet "Valkyrie "
	government "Arena"
	personality "heroic"
	variant
		"Valkyrie"
planet "Vanguard "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Vanguard "
		threshold 0
fleet "Vanguard "
	government "Arena"
	personality "heroic"
	variant
		"Vanguard"
planet "Wasp "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Wasp "
		threshold 0
fleet "Wasp "
	government "Arena"
	personality "heroic"
	variant
		"Wasp"
#	Mapping
event "revealMap"
	visit "Al Hurr"
	visit "1 Axis"
	visit "10 Pole"
	visit "11 Autumn Above"
	visit "11 Spring Below"
	visit "12 Autumn Above"
	visit "14 Pole"
	visit "14 Summer Above"
	visit "14 Winter Below"
	visit "16 Autumn Rising"
	visit "3 Axis"
	visit "3 Pole"
	visit "3 Spring Rising"
	visit "4 Axis"
	visit "4 Spring Rising"
	visit "4 Summer Rising"
	visit "4 Winter Rising"
	visit "5 Axis"
	visit "5 Spring Below"
	visit "5 Summer Above"
	visit "5 Winter Above"
	visit "7 Autumn Rising"
	visit "8 Winter Below"
	visit "9 Spring Above"
	visit "Ablodab"
	visit "Ablub"
	visit "Acamar"
	visit "Achernar"
	visit "Acnanjo"
	visit "Acrux"
	visit "Actannka"
	visit "Adhara"
	visit "Ae Ce L-332"
	visit "Ae Ce Q-761"
	visit "Ae Il A-3"
	visit "Ae Il B-11"
	visit "Ae Il F-46"
	visit "Ae Il G-66"
	visit "Ae Il H-24"
	visit "Ae Il I-99"
	visit "Ae Il M-77"
	visit "Ae Il O-96"
	visit "Aescolanus"
	visit "Aierena"
	visit "Aik Kamgatake"
	visit "Aki'il"
	visit "Aksek"
	visit "Al Dhanab"
	visit "Albaldah"
	visit "Albireo"
	visit "Alcyone"
	visit "Aldebaran"
	visit "Alderamin"
	visit "Aldhibain"
	visit "Aleit"
	visit "Algenib"
	visit "Algieba"
	visit "Algol"
	visit "Algorel"
	visit "Alheka"
	visit "Alhena"
	visit "Alioth"
	visit "Alkaid"
	visit "Almaaz"
	visit "Almach"
	visit "Alnair"
	visit "Alnasl"
	visit "Alnilam"
	visit "Alnitak"
	visit "Alniyat"
	visit "Alpha Arae"
	visit "Alpha Centauri"
	visit "Alpha Hydri"
	visit "Alphard"
	visit "Alphecca"
	visit "Alpheratz"
	visit "Altair"
	visit "Aludra"
	visit "Anbrim"
	visit "Ancient Hope"
	visit "Ankaa"
	visit "Answer"
	visit "Antares"
	visit "Antevorta"
	visit "Ap'arak"
	visit "Arcturus"
	visit "Arculus"
	visit "Arneb"
	visit "Ascella"
	visit "Asikafarnut"
	visit "Asio"
	visit "Aspidiske"
	visit "Atik"
	visit "Atria"
	visit "Auhru"
	visit "Avior"
	visit "Avo Chigo"
	visit "Aya'k'k"
	visit "Beginning"
	visit "Bellatrix"
	visit "Belonging"
	visit "Belug"
	visit "Belugt"
	visit "Beta Lupi"
	visit "Betelgeuse"
	visit "Bloptab"
	visit "Blubipad"
	visit "Blugtad"
	visit "Boral"
	visit "Bore Fah"
	visit "Bosuno Le"
	visit "Bote Asu"
	visit "Bright Void"
	visit "Broken Bowl"
	visit "Bunri Lemeta"
	visit "Caeculus"
	visit "Canopus"
	visit "Capella"
	visit "Caph"
	visit "Cardax"
	visit "Cardea"
	visit "Castor"
	visit "Cebalrai"
	visit "Celeborim"
	visit "Chikatip"
	visit "Chimitarp"
	visit "Chirr'ay'akai"
	visit "Chornifath"
	visit "Chy'chra"
	visit "Cinxia"
	visit "Coluber"
	visit "Companion"
	visit "Convector"
	visit "Cor Caroli"
	visit "Cotpoxi"
	visit "Cshudlye"
	visit "Da Ent"
	visit "Da Lest"
	visit "Dabih"
	visit "Danoa"
	visit "Dark Hills"
	visit "Debrugt"
	visit "Deep Space 19K12"
	visit "Deep Space 19M1"
	visit "Deep Space 19M2"
	visit "Deep Space 19M5"
	visit "Deep Space 1Q"
	visit "Deep Space 1X"
	visit "Deep Space 5J"
	visit "Deep Space 5N"
	visit "Deep Space 5T"
	visit "Deep Space 7C"
	visit "Deep Space 7F"
	visit "Delia"
	visit "Delta Capricorni"
	visit "Delta Sagittarii"
	visit "Delta Velorum"
	visit "Deneb"
	visit "Denebola"
	visit "Devil-Hide"
	visit "Devil-Run"
	visit "Diespiter"
	visit "Diphda"
	visit "Dixere"
	visit "Dokdobaru"
	visit "Dschubba"
	visit "Dubhe"
	visit "Due Yoot"
	visit "Durax"
	visit "E-4183"
	visit "E-9182"
	visit "Eber"
	visit "Eblumab"
	visit "Edusa"
	visit "Eebu"
	visit "Egeria"
	visit "Ehma Ti"
	visit "Ek'kek'ru"
	visit "Ekuarik"
	visit "Elabi Choati"
	visit "Elifennka"
	visit "Elnath"
	visit "Elo Chigo"
	visit "Eltanin"
	visit "Empeles"
	visit "Eneremprukt"
	visit "Eneva Katta"
	visit "Enif"
	visit "Eogho"
	visit "Epsilon Leonis"
	visit "Era Natta"
	visit "Erabu Lemeta"
	visit "Eragaru Le"
	visit "Erba Yle"
	visit "Es'sprak'ai"
	visit "Eshkoshtar"
	visit "Esix"
	visit "Eteron"
	visit "Evrae"
	visit "Fah Root"
	visit "Fah Soom"
	visit "Fala"
	visit "Fallen Leaf"
	visit "Far Horizon"
	visit "Farbutero"
	visit "Farinus"
	visit "Faronektu"
	visit "Fasitopfar"
	visit "Fearis"
	visit "Fell Omen"
	visit "Feraticus"
	visit "Fereti"
	visit "Feroteri"
	visit "Ferukistek"
	visit "Fingol"
	visit "Flugbu"
	visit "Fomalhaut"
	visit "Fornarep"
	visit "Four Pillars"
	visit "Fscher"
	visit "Furmeliki"
	visit "G-3191"
	visit "G-6183"
	visit "G-719"
	visit "G-819"
	visit "Gacrux"
	visit "Gamma Cassiopeiae"
	visit "Gamma Corvi"
	visit "Gaungu"
	visit "Genta Bo"
	visit "Gento Ah"
	visit "Gerenus"
	visit "Ghhil"
	visit "Gienah"
	visit "Giribea"
	visit "Girtab"
	visit "Glubatub"
	visit "Gomeisa"
	visit "Good Omen"
	visit "Gorvi"
	visit "Graffias"
	visit "Gualetri"
	visit "Gupta"
	visit "H-8188"
	visit "H-9187"
	visit "Hadar"
	visit "Hamal"
	visit "Han"
	visit "Hassaleh"
	visit "Hatysa"
	visit "Heia Due"
	visit "Hesselpost"
	visit "Heutesl"
	visit "Hevru Hai"
	visit "Hi Yahr"
	visit "Hintar"
	visit "Holeb"
	visit "Homeward"
	visit "Host"
	visit "Hunter"
	visit "Huud"
	visit "Iigen"
	visit "Iinjma"
	visit "Iise"
	visit "Ik'kara'ka"
	visit "Ildaria"
	visit "Iliniza"
	visit "Ilirco"
	visit "Imo Dep"
	visit "Insitor"
	visit "Io Lowe"
	visit "Io Mann"
	visit "Ipsing"
	visit "Is Ce B-139"
	visit "Is Ce F-422"
	visit "Is Ce G-460"
	visit "Is Ce J-591"
	visit "Is Il T-127"
	visit "Is Il T-94"
	visit "Is Il V-263"
	visit "Is Il X-626"
	visit "Is Il Z-59"
	visit "Is Il Z-814"
	visit "Iyech'yek"
	visit "Izar"
	visit "Jentu Centi"
	visit "Jentu Le"
	visit "Jied"
	visit "Jyeg Pvu"
	visit "Jyelio"
	visit "Ka'ch'chrai"
	visit "Ka'pru"
	visit "Kaliptari"
	visit "Kanguwa"
	visit "Kappa Centauri"
	visit "Karhio"
	visit "Kashikt"
	visit "Kasikfar"
	visit "Kaus Australis"
	visit "Kaus Borealis"
	visit "Ki War Ek"
	visit "Kifrana Terberah"
	visit "Kilema"
	visit "Kiluit"
	visit "Kiro'ku"
	visit "Kiru'kichi"
	visit "Kneirc"
	visit "Kochab"
	visit "Kor Ak'Mari"
	visit "Kor En'lakfar"
	visit "Kor Fel'tar"
	visit "Kor Men"
	visit "Kor Nor'peli"
	visit "Kor Tar'bei"
	visit "Kor Zena'i"
	visit "Kornephoros"
	visit "Korsmanath"
	visit "Kraz"
	visit "Kugel"
	visit "Kursa"
	visit "L-118"
	visit "L-6181"
	visit "Last Word"
	visit "Lesath"
	visit "Levana"
	visit "Limen"
	visit "Lire"
	visit "Lloloi"
	visit "Lolami"
	visit "Lom Tahr"
	visit "Lone Cloud"
	visit "Lucina"
	visit "Lurata"
	visit "M-1188"
	visit "MC-42"
	visit "MS-219"
	visit "Makferuti"
	visit "Maoni"
	visit "Markab"
	visit "Markeb"
	visit "Matar"
	visit "Mebla"
	visit "Meblumem"
	visit "Mebsuta"
	visit "Meftarkata"
	visit "Mego Faro"
	visit "Mego Inito"
	visit "Mego Seo"
	visit "Mei Yohn"
	visit "Mekislepti"
	visit "Men"
	visit "Menkalinan"
	visit "Menkar"
	visit "Menkent"
	visit "Merak"
	visit "Mesuket"
	visit "Miaplacidus"
	visit "Miblulub"
	visit "Mimosa"
	visit "Minkar"
	visit "Mintaka"
	visit "Mirach"
	visit "Mirfak"
	visit "Mirzam"
	visit "Misam"
	visit "Mizar"
	visit "Mnashyu"
	visit "Mohuwo"
	visit "Moktar"
	visit "Mora"
	visit "Msalbit"
	visit "Muhlifain"
	visit "Muphrid"
	visit "Naos"
	visit "Naper"
	visit "Nenia"
	visit "Nihal"
	visit "Nnatai"
	visit "Nnaug"
	visit "Nocte"
	visit "Nona"
	visit "Nssryos"
	visit "Nunki"
	visit "O-3184"
	visit "Oblate"
	visit "Oihaug"
	visit "Ookmya"
	visit "Oosuoro"
	visit "Orbona"
	visit "Orvala"
	visit "Ossipago"
	visit "Over the Rainbow"
	visit "Paeli"
	visit "Pantica"
	visit "Parca"
	visit "Paru Paru"
	visit "Patir"
	visit "Pbelnep"
	visit "Peacock"
	visit "Pelubta"
	visit "Peragenor"
	visit "Peresedersi"
	visit "Perfica"
	visit "Persian"
	visit "Persitar"
	visit "Phact"
	visit "Phecda"
	visit "Pherkad"
	visit "Phurad"
	visit "Piadenli"
	visit "Pik'ro'iyak"
	visit "Plort"
	visit "Polaris"
	visit "Polerius"
	visit "Pollux"
	visit "Porrima"
	visit "Postverta"
	visit "Prakacha'a"
	visit "Procyon"
	visit "Prosa"
	visit "Ptetubo"
	visit "Ptobeh"
	visit "Pug Iyik"
	visit "Pukako"
	visit "Quaru"
	visit "Queri"
	visit "Rajak"
	visit "Rasalhague"
	visit "Rastaban"
	visit "Rati Cal"
	visit "Ravu Kon"
	visit "Regor"
	visit "Regulus"
	visit "Relifer"
	visit "Remembrance"
	visit "Rigel"
	visit "Ritilas"
	visit "Rouseu"
	visit "Ruchbah"
	visit "Rutilicus"
	visit "Sabik"
	visit "Sabriset"
	visit "Sadalmelik"
	visit "Sadalsuud"
	visit "Sadr"
	visit "Sagittarius A*"
	visit "Saiph"
	visit "Salipastart"
	visit "Saquergen"
	visit "Sargas"
	visit "Sarin"
	visit "Sayaiban"
	visit "Scheat"
	visit "Schedar"
	visit "Scija"
	visit "Segesta"
	visit "Seginus"
	visit "Seketra"
	visit "Sepetrosk"
	visit "Sepriaptu"
	visit "Sera Natta"
	visit "Sevrelect"
	visit "Shaula"
	visit "Sheratan"
	visit "Shini Bori"
	visit "Si'yak'ku"
	visit "Sich'ka'ara"
	visit "Silikatakfar"
	visit "Silver Bell"
	visit "Silver String"
	visit "Similisti"
	visit "Sirius"
	visit "Skeruto"
	visit "Sko'karak"
	visit "Sobarati"
	visit "Sol"
	visit "Sol Arach"
	visit "Sol Kimek"
	visit "Sol Saryd"
	visit "Solifar"
	visit "Sospi"
	visit "Speloog"
	visit "Spica"
	visit "Statina"
	visit "Steep Roof"
	visit "Stercutus"
	visit "Suhail"
	visit "Sumar"
	visit "Sumprast"
	visit "Tais"
	visit "Talita"
	visit "Tania Australis"
	visit "Tarazed"
	visit "Tebuteb"
	visit "Tejat"
	visit "Terminus"
	visit "Terra Incognita"
	visit "Thshybo Le"
	visit "Torbab"
	visit "Tortor"
	visit "Tscera"
	visit "Turais"
	visit "U-5188"
	visit "Uelawan"
	visit "Uhebe"
	visit "Ula Mon"
	visit "Ultima Thule"
	visit "Umbral"
	visit "Unagi"
	visit "Unukalhai"
	visit "Urba Pest"
	visit "Uttna"
	visit "Uwa Fahn"
	visit "Uwo Seija"
	visit "V-2189"
	visit "Vaiov"
	visit "Vanguwo"
	visit "Vaticanus"
	visit "Vega"
	visit "Vesvii"
	visit "Vilacira"
	visit "Vindemiatrix"
	visit "Volax"
	visit "Vorsuke"
	visit "Vulcuja"
	visit "W-3197"
	visit "Wah Ki"
	visit "Wah Oh"
	visit "Wah Yoot"
	visit "Waypoint"
	visit "Wazn"
	visit "Wei"
	visit "Wezen"
	visit "World's End"
	visit "Wreoul"
	visit "Xutluno Fali"
	visit "Xutluno Rees"
	visit "Ya Hai"
	visit "Yed Prior"
	visit "Yerser"
	visit "Yli"
	visit "Yllke"
	visit "Yranjiu"
	visit "Zaurak"
	visit "Zeinar"
	visit "Zeta Aquilae"
	visit "Zeta Centauri"
	visit "Zolpulti"
	visit "Zosma"
	visit "Zuba Zub"
	visit "Zubenelgenubi"
	visit "Zubenelhakrabi"
	visit "Zubeneschamali"
#	Sales
outfitter "everything"
	"R01 Skirmish Battery"
	"R02 Battlezone Battery"
	"R03 Warforge Battery"
	"R04 Crusade Battery"
	"C3 Scrap Cell"
	"C7 Brawl Cell"
	"C17 Warzone Core"
	"C27 Campaign Core"
	"I70 Ameliorate Cell"
	"RG15 Torch Thruster"
	"RG15 Torch Steering"
	"RG18 Torch Thruster"
	"RG18 Torch Steering"
	"RG3 Torch Thruster"
	"RG3 Torch Steering"
	"SC-1 Plasma Engines"
	"SC-12 Plasma Thruster"
	"SC-12 Plasma Steering"
	"SC-14 Plasma Thruster"
	"SC-14 Plasma Steering"
	"SC-15 Plasma Thrusters"
	"Irate Cannon"
	"Irate Cannon Turret"
	"Choleric Cannon"
	"Choleric Cannon Turret"
	"Ballistic Cannon"
	"Ballistic Cannon Turret"
	"Astuit Battery"
	"Acuit Artillery"
	"Guile Pulse Laser"
	"Excavator"
	"Savagery Bludgeon"
	"Savagery Pike"
	"Irate Carronade"
	"Plasmasickle"
	"Plasma Grenades"
	"Gegno Civilian License"
	"Vi Lord License"
	"Vi Centurion License"
	"Vi Evocati License"
	"Scin Hoplologist License"
	"Scin Architect License"
	"Scin Adjutant License"
	"Suicide Gun"
	"_Ion Storm Timer: Generator"
	"Inhibitor Cannon"
	"Inhibitor Turret"
	"Thrasher Cannon"
	"Thrasher Turret"
	"Point Defense Turret"
	"EMP Torpedo"
	"EMP Torpedo Storage Bay"
	"EMP Torpedo Bay"
	"Teciimach Canister"
	"Teciimach Canister Rack"
	"Teciimach Bay"
	"Teciimach Pod"
	"Ember Tear"
	"Crystal Capacitor"
	"Millennium Cell"
	"Epoch Cell"
	"Aeon Cell"
	"Thermoelectric Cooler"
	"Emergency Ramscoop"
	"NDR-114 Android"
	"Research Laboratory"
	"Quantum Key Stone"
	"Salvage Scanner"
	"Bellows-Class Afterburner"
	"Anvil-Class Engine"
	"Crucible-Class Thruster"
	"Forge-Class Thruster"
	"Smelter-Class Thruster"
	"Crucible-Class Steering"
	"Forge-Class Steering"
	"Smelter-Class Steering"
	"Tuning Rifle"
	"Void Rifle"
	"Void Sprite Parts"
	"Remnant License"
	"Remnant Capital License"
	"LG Gridfire Turret"
	"Crystal Projector"
	"Floating Crystal"
	"Crystalline Formation"
	"Hexagonal Crystal"
	"Tree Skeleton Key Stone"
	"Prototype Fusion Cannon"
	"Nanotech Battery"
	"Antimatter Core"
	"Quarg Skylance"
	"Quarg Anti-Missile"
	"Intrusion Countermeasures"
	"Medium Graviton Thruster"
	"Medium Graviton Steering"
	"Quantum Shield Generator"
	"Pincer"
	"Generator (Candle Class)"
	"Generator (Furnace Class)"
	"Generator (Inferno Class)"
	"Plasma Core"
	"Double Plasma Core"
	"Triple Plasma Core"
	"Small Heat Shunt"
	"Large Heat Shunt"
	"Liquid Sodium Cooler"
	"Systems Core (Tiny)"
	"Systems Core (Small)"
	"Systems Core (Medium)"
	"Systems Core (Large)"
	"Fuel Processor"
	"Command Center"
	"Reasoning Node"
	"Control Transceiver"
	"Afterburner (Asteroid Class)"
	"Afterburner (Comet Class)"
	"Afterburner (Lunar Class)"
	"Afterburner (Planetary Class)"
	"Afterburner (Stellar Class)"
	"Engine (Meteor Class)"
	"Bow Drive (Meteor Class)"
	"Reverser (Asteroid Class)"
	"Reverser (Comet Class)"
	"Reverser (Lunar Class)"
	"Reverser (Planetary Class)"
	"Reverser (Stellar Class)"
	"Thruster (Asteroid Class)"
	"Thruster (Comet Class)"
	"Thruster (Lunar Class)"
	"Thruster (Planetary Class)"
	"Thruster (Stellar Class)"
	"Steering (Asteroid Class)"
	"Steering (Comet Class)"
	"Steering (Lunar Class)"
	"Steering (Planetary Class)"
	"Steering (Stellar Class)"
	"Arkrof GP Hybrid Thruster"
	"Farves GP Hybrid Thruster"
	"Gaktem GP Hybrid Thruster"
	"Nelmeb GP Hybrid Thruster"
	"Arkrof GP Hybrid Steering"
	"Farves GP Hybrid Steering"
	"Gaktem GP Hybrid Steering"
	"Nelmeb GP Hybrid Steering"
	"Thermal Repeater Rifle"
	"Microbot Defense Station"
	"Grab-Strike Turret"
	"Shunt-Strike Turret"
	"Banisher Grav-Turret"
	"Expeller Grav-Ray"
	"Warder Anti-Missile"
	"Fire-Lance"
	"Blaze-Pike Turret"
	"Korath Inferno"
	"Thermal Repeater"
	"Thermal Repeater Turret"
	"Piercer Missile"
	"Piercer Missile Rack"
	"Piercer Missile Launcher"
	"Korath Detainer"
	"Cluster Mine"
	"Cluster Mine Rack"
	"Cluster Mine Layer"
	"Korath Mine Submunition"
	"Shield Disruptor Turret"
	"Husk-Slice"
	"Husk-Slice Turret"
	"Digger Mining Turret"
	"Digger Mining Beam"
	"Langrage Hyper-Heaver"
	"Heaver Shard"
	"Heaver Splinter"
	"Firelight Storage Rack"
	"Firelight Missile"
